Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A538641,OWNER SUR,12/17/2025,*JOHN,CAT,7 YEARS,LARGE,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538641&location=MONT,
A538715,OWNER SUR,12/21/2025,GEORGE,OTHER,3 YEARS,SMALL,WHITE / BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538715&location=MONT,
A538716,OWNER SUR,12/21/2025,EMERSON,OTHER,3 YEARS,SMALL,GRAY / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538716&location=MONT,
A538754,OWNER SUR,12/22/2025,SASHI,DOG,4 YEARS,MED,BLACK / WHITE,SIBERIAN HUSKY / BULL TERRIER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538754&location=MONT,
A536012,OWNER SUR,09/27/2025,MISS WAVERLY,CAT,6 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536012&location=MONT,
A514149,OWNER SUR,10/02/2025,NAJIA,DOG,3 YEARS,LARGE,WHITE / BROWN,BULL TERRIER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514149&location=MONT,
A538458,OWNER SUR,12/11/2025,*PLANTAIN,OTHER,NO AGE,SMALL,WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538458&location=MONT,
A535584,CONFISCATE,09/14/2025,*SURGE,DOG,2 YEARS,LARGE,BRINDLE / WHITE,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535584&location=MONT,
A535716,RETURN,10/22/2025,*CURTIS,DOG,2 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535716&location=MONT,
A538037,OWNER SUR,11/28/2025,DAISY,DOG,7 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538037&location=MONT,
A537889,OWNER SUR,11/22/2025,*EDGE,DOG,4 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537889&location=MONT,
A536421,RETURN,10/26/2025,MINION,DOG,3 YEARS,LARGE,BLACK / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536421&location=MONT,
A522439,OWNER SUR,05/27/2025,ROSIE,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522439&location=MONT,
A514568,CONFISCATE,10/01/2025,ZINA,DOG,6 YEARS,MED,TAN / WHITE,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514568&location=MONT,
A528797,OWNER SUR,12/04/2025,PHIN,OTHER,1 YEAR 10 MONTHS,MED,WHITE / BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528797&location=MONT,
A534501,RETURN,09/30/2025,TRINITY,DOG,1 YEAR 8 MONTHS,MED,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534501&location=MONT,
A538626,BOARDING,12/17/2025,*GOLDFISH2,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538626&location=MONT,
A538629,BOARDING,12/17/2025,*GOLDFISH5,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538629&location=MONT,
A538627,BOARDING,12/17/2025,*GOLDFISH3,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538627&location=MONT,
